"Species_latin","term","estimate","std.error","statistic","p.value"
"Oncorhynchus gorbuscha","(Intercept)",291.879860621841,90.7855158253815,3.21504876596447,0.00153658230064459
"Oncorhynchus gorbuscha","poly(Temp_test_mean, 2, raw = T)1",1.45002156667074,2.59342107763556,0.55911536278279,0.576751968153842
"Oncorhynchus gorbuscha","poly(Temp_test_mean, 2, raw = T)2",-0.0171447856129507,0.0732858466844888,-0.233944020415874,0.815284357224523
"Oncorhynchus gorbuscha","LENGTH_cm",-3.44392733272472,1.72492582459528,-1.99656546595722,0.047323021046695
"Oncorhynchus keta","(Intercept)",565.713417775291,163.343306862212,3.46334005746864,0.002108082109837
"Oncorhynchus keta","poly(Temp_test_mean, 2, raw = T)1",-29.519598396024,9.39062007416228,-3.14351961456149,0.00455212840121352
"Oncorhynchus keta","poly(Temp_test_mean, 2, raw = T)2",1.04594856009412,0.330822376010382,3.16166207590895,0.00435973816651778
"Oncorhynchus keta","LENGTH_cm",-4.1616247434045,1.76387171557162,-2.35936928216791,0.0271709595353337
"Oncorhynchus kisutch","(Intercept)",-65.6841954824254,39.7133948192231,-1.65395569382629,0.0996094440466832
"Oncorhynchus kisutch","poly(Temp_test_mean, 2, raw = T)1",43.8179485647275,5.54914940302934,7.8963360656332,1.5045997571119e-13
"Oncorhynchus kisutch","poly(Temp_test_mean, 2, raw = T)2",-1.6395761009017,0.221304078110318,-7.40870260910597,2.94587465938425e-12
"Oncorhynchus kisutch","LENGTH_cm",-1.01064062102523,0.369442435448993,-2.73558347404509,0.00675208154169974
"Oncorhynchus masou","(Intercept)",100.737,NA,NA,NA
"Oncorhynchus masou","poly(Temp_test_mean, 2, raw = T)1",NA,NA,NA,NA
"Oncorhynchus masou","poly(Temp_test_mean, 2, raw = T)2",NA,NA,NA,NA
"Oncorhynchus masou","LENGTH_cm",NA,NA,NA,NA
"Oncorhynchus mykiss","(Intercept)",-128.816364754002,11.6632460404185,-11.0446409436613,1.89560862504433e-22
"Oncorhynchus mykiss","poly(Temp_test_mean, 2, raw = T)1",4.13093902205108,1.98656293949755,2.07944029354333,0.0388519685958926
"Oncorhynchus mykiss","poly(Temp_test_mean, 2, raw = T)2",-0.113740923731596,0.0910878979081651,-1.24869413328947,0.213236623793981
"Oncorhynchus mykiss","LENGTH_cm",4.72741129073094,0.199460847480773,23.7009485843413,5.48108812394074e-60
"Oncorhynchus nerka","(Intercept)",-80.6236804561531,32.8785745896206,-2.45216471402641,0.0145721777783589
"Oncorhynchus nerka","poly(Temp_test_mean, 2, raw = T)1",12.2597769732135,3.51099413597085,3.49182496422014,0.00052625181235655
"Oncorhynchus nerka","poly(Temp_test_mean, 2, raw = T)2",-0.3915837302836,0.102572784603861,-3.8176182093126,0.00015327733363922
"Oncorhynchus nerka","LENGTH_cm",1.86124646932244,0.304394785335671,6.11458066625536,2.07564043907524e-09
"Oncorhynchus tshawytscha","(Intercept)",-48.4378933748869,108.277319198272,-0.447350319841128,0.658063800241634
"Oncorhynchus tshawytscha","poly(Temp_test_mean, 2, raw = T)1",4.35891726298979,12.8580417195639,0.339003198003128,0.737136671174513
"Oncorhynchus tshawytscha","poly(Temp_test_mean, 2, raw = T)2",-0.263145178932959,0.493188814561606,-0.533558692256368,0.59785737793309
"Oncorhynchus tshawytscha","LENGTH_cm",2.98715289535295,0.752181734560573,3.9713180446984,0.000453773812361138
"Salmo salar","(Intercept)",-93.7281946140662,20.617907178695,-4.5459606448766,8.33529752808331e-06
"Salmo salar","poly(Temp_test_mean, 2, raw = T)1",10.2247631660997,3.29121007638073,3.10668809611315,0.00209841970781229
"Salmo salar","poly(Temp_test_mean, 2, raw = T)2",-0.288666683096876,0.122687794333452,-2.35285575606902,0.0193640328837226
"Salmo salar","LENGTH_cm",3.32695237387775,0.172659151696198,19.2689025817275,2.92119015902538e-52
