"Species_latin","n_studies_ref_dp","studies","swim_units"
"Oncorhynchus gorbuscha","8 (216) ","6, 9, 13, 20, 21, 24, 43, 88","CM_S_ALL"
"Oncorhynchus keta","8 (56) ","39, 41, 42, 44, 53, 88, 204, 214","CM_S_ALL"
"Oncorhynchus kisutch","14 (409) ","10, 13, 18, 17, 28, 45, 50, 54, 89, 12, 211, 213, 214, 216","CM_S_ALL"
"Oncorhynchus masou","1 (5) ","44","CM_S_ALL"
"Oncorhynchus mykiss","22 (324) ","53, 65, 68, 69, 72, 73, 74, 75, 76, 77, 80, 87, 90, 92, 94, 95, 205, 206, 211, 212, 215, 54","CM_S_ALL"
"Oncorhynchus nerka","32 (1954) ","1, 2, 3, 5, 19, 7, 8, 9, 13, 14, 15, 16, 20, 21, 22, 23, 29, 30, 31, 38, 47, 50, 54, 40, 58, 79, 12, 213, 11, 217, 27, [25, 26, 48]","CM_S_ALL"
"Oncorhynchus tshawytscha","8 (89) ","4, 36, 35, 37, 53, 66, 33, 211","CM_S_ALL"
"Salmo salar","25 (418) ","55, 56, 57, 60, 62, 70, 71, 78, 81, 82, 83, 84, 85, 86, 61, 91, 93, 96, 100, 102, 104, 105, 201, 202, 203","CM_S_ALL"
"Oncorhynchus gorbuscha","4 (58) ","9, 13, 20, 43","cm.s.reported"
"Oncorhynchus keta","5 (18) ","39, 41, 53, 204, 214","cm.s.reported"
"Oncorhynchus kisutch","11 (364) ","10, 13, 18, 17, 50, 54, 89, 211, 213, 214, 216","cm.s.reported"
"Oncorhynchus mykiss","13 (199) ","53, 65, 68, 69, 73, 76, 87, 95, 205, 211, 212, 215, 54","cm.s.reported"
"Oncorhynchus nerka","21 (1764) ","1, 2, 3, 5, 7, 9, 13, 20, 29, 30, 31, 38, 50, 54, 40, 58, 79, 213, 217, 27, [25, 26, 48]","cm.s.reported"
"Oncorhynchus tshawytscha","7 (87) ","36, 35, 37, 53, 66, 33, 211","cm.s.reported"
"Salmo salar","16 (233) ","56, 57, 60, 62, 70, 78, 81, 83, 84, 85, 86, 61, 102, 105, 202, 203","cm.s.reported"
"Oncorhynchus gorbuscha","7 (211) ","6, 9, 13, 21, 24, 43, 88","BL.s"
"Oncorhynchus keta","5 (57) ","39, 41, 42, 44, 88","BL.s"
"Oncorhynchus kisutch","7 (148) ","10, 13, 18, 28, 45, 89, 12","BL.s"
"Oncorhynchus masou","2 (23) ","63, 44","BL.s"
"Oncorhynchus mykiss","13 (134) ","68, 72, 74, 75, 77, 80, 90, 92, 94, 95, 205, 206, 212","BL.s"
"Oncorhynchus nerka","21 (482) ","1, 3, 5, 19, 7, 8, 9, 13, 14, 15, 16, 21, 22, 23, 47, 46, 79, 12, 11, 27, [25, 26, 48]","BL.s"
"Oncorhynchus tshawytscha","2 (9) ","4, 35","BL.s"
"Salmo salar","16 (296) ","55, 56, 71, 78, 81, 82, 84, 91, 93, 96, 100, 102, 104, 105, 201, 203","BL.s"
"Oncorhynchus gorbuscha","3 (52) ","9, 13, 43","BL.s_AND_cm.s"
"Oncorhynchus keta","2 (2) ","39, 41","BL.s_AND_cm.s"
"Oncorhynchus kisutch","4 (103) ","10, 13, 18, 89","BL.s_AND_cm.s"
"Oncorhynchus mykiss","4 (9) ","68, 95, 205, 212","BL.s_AND_cm.s"
"Oncorhynchus nerka","9 (283) ","1, 3, 5, 7, 9, 13, 79, 27, [25, 26, 48]","BL.s_AND_cm.s"
"Oncorhynchus tshawytscha","1 (7) ","35","BL.s_AND_cm.s"
"Salmo salar","5 (111) ","56, 78, 81, 84, 203","BL.s_AND_cm.s"
