"","Swim_Conditions2","Swim_Conditions","n_studies_ref_dp","studies"
"1","Dam","American-Dam","1 (8) ","87"
"2","Dam","Columbia-Dam ","1 (8) ","35"
"3","Dam","Fraser-Dam","2 (16) ","22, 23"
"4","Fall","Fall-artificial","2 (9) ","40, 58"
"5","Fraser","Fraser-Difficult","1 (4) ","47"
"6","Fraser","Fraser-Easy","1 (4) ","47"
"7","Fraser","Fraser-Intermediate","1 (4) ","47"
"8","Fraser","Fraser-Segm1","1 (13) ","29"
"9","Fraser","Fraser-Segm10","1 (11) ","29"
"10","Fraser","Fraser-Segm2","3 (22) ","20, 21, 29"
"11","Fraser","Fraser-Segm3","1 (15) ","29"
"12","Fraser","Fraser-Segm4","3 (22) ","20, 21, 29"
"13","Fraser","Fraser-Segm5","1 (12) ","29"
"14","Fraser","Fraser-Segm6","1 (13) ","29"
"15","Fraser","Fraser-Segm7","2 (17) ","21, 29"
"16","Fraser","Fraser-Segm8","1 (11) ","29"
"17","Fraser","Fraser-Segm9","3 (18) ","20, 21, 29"
"18","Klickitat","Klickitat-Falls","1 (37) ","36"
"19","other","Ammonia","1 (1) ","72"
"20","other","hypoxia","1 (4) ","19"
"21","other","pH 5.15","1 (2) ","71"
"22","other","pH 5.24 + Al","1 (2) ","71"
"23","Shibetsu","Shibetsu-Construction","2 (26) ","39, 88"
"24","Toyohira","Toyohira-GroundSill","2 (12) ","41, 44"
"25","Toyohira","Toyohira-Segm1","1 (4) ","44"
"26","Toyohira","Toyohira-Segm2","1 (4) ","44"
"27","Toyohira","Toyohira-Segm3","1 (4) ","44"
"28","Toyohira","Toyohira-Segm4","1 (4) ","44"
"29","Toyohira","Toyohira-Segm5","1 (4) ","44"
"30","Toyohira","Toyohira-Segm6","1 (4) ","44"
"31","Toyohira","Toyohira-Segm7","1 (4) ","44"
"32","Toyohira","Toyohira-Segm8","1 (4) ","44"
"33",NA,NA,"91 (3200) ","1, 2, 3, 4, 5, 6, 19, 7, 8, 9, 10, 13, 14, 15, 16, 18, 17, 24, 28, 30, 31, 37, 38, 39, 41, 42, 43, 44, 45, 46, 50, 54, 55, 56, 57, 60, 62, 63, 65, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 61, 90, 33, 91, 92, 93, 94, 95, 96, 100, 12, 102, 104, 105, 201, 202, 203, 204, 205, 206, 53, 212, 213, 215, 214, 11, 216, 217, 27, [25, 26, 48]"
