"","Fish_Conditions","n_studies_ref_dp","studies"
"1","anemia","1 (19) ","206"
"2","density","1 (2) ","94"
"3","density exercise trained","1 (2) ","94"
"4","diet","2 (18) ","81, 82"
"5","exercise trained","2 (9) ","73, 75"
"6","fallback","4 (18) ","8, 36, 38, 41"
"7","fasted","1 (48) ","203"
"8","infection","6 (25) ","13, 15, 55, 93, 96, 54"
"9","injured","1 (16) ","54"
"10","kelts","2 (30) ","201, 202"
"11","mature","13 (220) ","6, 13, 22, 23, 56, 71, 83, 89, 61, 201, 214, 54, 217"
"12","pass","4 (17) ","8, 36, 38, 41"
"13","polycythemia","1 (35) ","206"
"14","prior anesthetic","2 (10) ","42, 77"
"15","spawned","1 (2) ","6"
"16","toxicant ","3 (9) ","19, 7, 72"
"17","unhealthy","3 (59) ","7, 14, 18"
"18",NA,"85 (2984) ","1, 2, 3, 4, 5, 19, 7, 9, 10, 13, 15, 16, 18, 17, 20, 21, 24, 28, 29, 30, 31, 35, 37, 39, 41, 42, 43, 44, 45, 47, 46, 50, 54, 55, 57, 40, 58, 60, 62, 63, 65, 36, 68, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 84, 85, 86, 87, 88, 90, 33, 91, 92, 93, 95, 96, 100, 12, 102, 104, 105, 201, 203, 204, 205, 206, 53, 212, 213, 215, 11, 216, 217, 27, [25, 26, 48]"
